Projectnummer;Opdrachtnummer;Blok;Cluster NR;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
ANTWERPEN-WEST - FH04;1960755;BL0408;2;1960755;;Keizerstraat 20-22;Keizerstraat;20;;;XC;2020-01-26 08:50:12;Geert Stockman;MDU;7;2;2;11;BUILDING template
ANTWERPEN-WEST - FH04;109161;BL0408;2;109161;;Keizerstraat 20-22;Keizerstraat;22;;;XC;2020-01-26 08:50:12;Geert Stockman;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH04;1961994;BL0409;2;1961994;;Kipdorp 31-33;Kipdorp;33;;;;;;MDU;0;11;1;12;BUILDING template
ANTWERPEN-WEST - FH04;1961993;BL0409;2;1961993;;Kipdorp 31-33 ;Kipdorp;31;;;;;;MDU;0;11;1;12;BUILDING template
ANTWERPEN-WEST - FH04;5575828;BL0415;3;5575828;;Kipdorp 44-46-48 ;Kipdorp;48;;;XC;2020-03-12 19:35:06;Geert Stockman;MDU;1;0;1;2;BUILDING template
ANTWERPEN-WEST - FH04;1962002;BL0415;3;1962002;;Kipdorp 44-46-48 ;Kipdorp;46;;;XC;2020-03-12 19:35:06;Geert Stockman;MDU;0;26;1;27;BUILDING template
ANTWERPEN-WEST - FH04;110042;BL0415;3;110042;;Kipdorp 44-46-48 ;Kipdorp;44;;;XC;2020-03-12 19:35:06;Geert Stockman;MDU;0;1;0;1;BUILDING template
ANTWERPEN-WEST - FH04;109946;BL0410;2;109946;;Kipdorp 49-51 ;Kipdorp;49;;;;2020-02-17 15:10:29;Maayken Vanfleteren;MDU;1;0;1;2;BUILDING template
ANTWERPEN-WEST - FH04;5575829;BL0410;2;5575829;;Kipdorp 49-51 ;Kipdorp;51;;;;;Peter Van Leeuwen;MDU;0;46;1;47;BUILDING template
ANTWERPEN-WEST - FH04;6577632;BL0410;2;6577632;;Kipdorp 59-61_Prinsesstraat 46;Kipdorp;59;;;;;Peter Van Leeuwen;MDU;0;1;1;2;BUILDING template
ANTWERPEN-WEST - FH04;11987;BL0410;2;11987;;Kipdorp 59-61_Prinsesstraat 46;Kipdorp;61;;;;;Peter Van Leeuwen;MDU;7;0;7;14;BUILDING template
ANTWERPEN-WEST - FH04;2045900;BL0410;2;2045900;;Kipdorp 59-61_Prinsesstraat 46;Prinsesstraat;46;;;;;Peter Van Leeuwen;MDU;0;1;0;1;BUILDING template
ANTWERPEN-WEST - FH04;5575832;BL0431;7;5575832;;Kipdorpvest 40-42 ;Kipdorpvest;40;;;XA;2020-03-11 13:15:10;Hidde Kiekens;MDU;3;17;2;22;BUILDING template
