Projectnummer;LU Key;CLUSTER_NR;BLOCK_NR;LAM MK;BLOCK_NR_LU;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging
SINT-NIKLAAS - FH02;3500245;3;BL0214;3500245;BL0214;BUILDING template;Knaptandstraat;12;
SINT-NIKLAAS - FH02;2097983;3;BL0214;3500245;BL0214;(L/B/S)U template;Knaptandstraat;12;
SINT-NIKLAAS - FH02;4260305;3;BL0214;4260305;BL0214;BUILDING template;Knaptandstraat;14;
SINT-NIKLAAS - FH02;2100381;3;BL0214;4260305;BL0214;(L/B/S)U template;Knaptandstraat;14;
SINT-NIKLAAS - FH02;3500256;3;BL0215;3500256;BL0215;BUILDING template;Knaptandstraat;18;
SINT-NIKLAAS - FH02;2104116;3;BL0215;3500256;BL0215;(L/B/S)U template;Knaptandstraat;18;
SINT-NIKLAAS - FH02;3500258;3;BL0215;3500258;BL0215;BUILDING template;Knaptandstraat;20;
SINT-NIKLAAS - FH02;2106002;3;BL0215;3500258;BL0215;(L/B/S)U template;Knaptandstraat;20;
SINT-NIKLAAS - FH02;4468650;3;BL0215;4468650;BL0215;BUILDING template;Knaptandstraat;22;
SINT-NIKLAAS - FH02;2107223;3;BL0215;4468650;BL0215;(L/B/S)U template;Knaptandstraat;22;
SINT-NIKLAAS - FH02;3500263;3;BL0215;3500263;BL0215;BUILDING template;Knaptandstraat;24;
SINT-NIKLAAS - FH02;2108244;3;BL0215;3500263;BL0215;(L/B/S)U template;Knaptandstraat;24;
SINT-NIKLAAS - FH02;3500266;3;BL0215;3500266;BL0215;BUILDING template;Knaptandstraat;26;
SINT-NIKLAAS - FH02;5904901;3;BL0215;5904901;BL0215;BUILDING template;Knaptandstraat;26;A
SINT-NIKLAAS - FH02;10642980;3;BL0215;3500266;BL0215;(L/B/S)U template;Knaptandstraat;26;
SINT-NIKLAAS - FH02;10642383;3;BL0215;5904901;BL0215;(L/B/S)U template;Knaptandstraat;26;A
SINT-NIKLAAS - FH02;3500269;3;BL0215;3500269;BL0215;BUILDING template;Knaptandstraat;28;
SINT-NIKLAAS - FH02;2109968;3;BL0215;3500269;BL0215;(L/B/S)U template;Knaptandstraat;28;
SINT-NIKLAAS - FH02;3948699;3;BL0215;3948699;BL0215;BUILDING template;Knaptandstraat;30;
SINT-NIKLAAS - FH02;2111179;3;BL0215;3948699;BL0215;(L/B/S)U template;Knaptandstraat;30;
SINT-NIKLAAS - FH02;11094618;3;BL0215;3948699;BL0215;(L/B/S)U template;Knaptandstraat;30;
SINT-NIKLAAS - FH02;3500276;3;BL0215;3500276;BL0215;BUILDING template;Knaptandstraat;32;
SINT-NIKLAAS - FH02;2111833;3;BL0215;3500276;BL0215;(L/B/S)U template;Knaptandstraat;32;
SINT-NIKLAAS - FH02;3500281;3;BL0215;3500281;BL0215;BUILDING template;Knaptandstraat;34;
SINT-NIKLAAS - FH02;2112445;3;BL0215;3500281;BL0215;(L/B/S)U template;Knaptandstraat;34;
SINT-NIKLAAS - FH02;3500286;3;BL0215;3500286;BL0215;BUILDING template;Knaptandstraat;36;
SINT-NIKLAAS - FH02;2113027;3;BL0215;3500286;BL0215;(L/B/S)U template;Knaptandstraat;36;
SINT-NIKLAAS - FH02;3500289;3;BL0215;3500289;BL0215;BUILDING template;Knaptandstraat;38;
SINT-NIKLAAS - FH02;2113601;3;BL0215;3500289;BL0215;(L/B/S)U template;Knaptandstraat;38;
SINT-NIKLAAS - FH02;4260505;3;BL0215;4260505;BL0215;BUILDING template;Knaptandstraat;40;
SINT-NIKLAAS - FH02;2114588;3;BL0215;4260505;BL0215;(L/B/S)U template;Knaptandstraat;40;
SINT-NIKLAAS - FH02;4468665;3;BL0215;4468665;BL0215;BUILDING template;Knaptandstraat;42;
SINT-NIKLAAS - FH02;11161049;3;BL0215;4468665;BL0215;(L/B/S)U template;Knaptandstraat;42;
SINT-NIKLAAS - FH02;3500291;3;BL0215;3500291;BL0215;BUILDING template;Knaptandstraat;44;
SINT-NIKLAAS - FH02;2115655;3;BL0215;3500291;BL0215;(L/B/S)U template;Knaptandstraat;44;
SINT-NIKLAAS - FH02;3500293;3;BL0215;3500293;BL0215;BUILDING template;Knaptandstraat;46;
